Interest Code,Job Zone,Code,Occupation,Featured
ICR,4,15-1252.00,Software Developers,Y
ICR,4,15-1253.00,Software Quality Assurance Analysts and Testers,Y
IEC,4,13-1199.05,Sustainability Specialists,Y
IC,4,19-3099.01,Transportation Planners,
ICR,4,17-2112.02,Validation Engineers,Y
IRC,4,11-9121.02,Water Resource Specialists,Y
IAC,4,15-1255.00,Web and Digital Interface Designers,
IR,4,19-1023.00,Zoologists and Wildlife Biologists,
IS,5,29-1141.02,Advanced Practice Psychiatric Nurses,
ISR,5,29-1229.01,Allergists and Immunologists,
ISR,5,29-1211.00,Anesthesiologists,
IR,5,19-1011.00,Animal Scientists,Y
IR,5,19-3091.00,Anthropologists and Archeologists,
IR,5,19-2011.00,Astronomers,
ISC,5,29-1181.00,Audiologists,Y
IR,5,19-1021.00,Biochemists and Biophysicists,
ICR,5,19-1029.01,Bioinformatics Scientists,
ICR,5,19-1029.04,Biologists,
IC,5,15-2041.01,Biostatisticians,
IRS,5,29-1212.00,Cardiologists,
IS,5,25-1052.00,"Chemistry Teachers, Postsecondary",
IEC,5,19-2041.01,Climate Change Policy Analysts,Y
IS,5,19-3039.03,Clinical Neuropsychologists,
ICR,5,15-1221.00,Computer and Information Research Scientists,
IRC,5,29-2011.02,Cytotechnologists,
IRS,5,29-1021.00,"Dentists, General",
IRS,5,29-1213.00,Dermatologists,
ICE,5,19-3011.00,Economists,Y
ISC,5,29-1214.00,Emergency Medicine Physicians,
IEC,5,19-3011.01,Environmental Economists,
IRC,5,19-2041.02,Environmental Restoration Planners,Y
IS,5,19-1041.00,Epidemiologists,
IC,5,13-2099.01,Financial Quantitative Analysts,Y
ISR,5,29-1216.00,General Internal Medicine Physicians,
ISC,5,29-9092.00,Genetic Counselors,Y
ICR,5,19-1029.03,Geneticists,
IRC,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",
ICS,5,15-1211.01,Health Informatics Specialists,Y
IC,5,19-3093.00,Historians,
IRC,5,17-2112.01,Human Factors Engineers and Ergonomists,Y
IRC,5,19-2043.00,Hydrologists,
IRC,5,19-2041.03,Industrial Ecologists,Y
IES,5,19-3032.00,Industrial-Organizational Psychologists,Y
IC,5,15-2021.00,Mathematicians,
IRC,5,19-1042.00,"Medical Scientists, Except Epidemiologists",Y
IRC,5,17-2199.06,Microsystems Engineers,
IRC,5,19-1029.02,Molecular and Cellular Biologists,
IRC,5,17-2199.09,Nanosystems Engineers,
IEC,5,11-9121.00,Natural Sciences Managers,Y
ISR,5,29-1299.01,Naturopathic Physicians,
IS,5,29-1217.00,Neurologists,
IS,5,19-3039.02,Neuropsychologists,
ISC,5,29-1171.00,Nurse Practitioners,Y
ISR,5,29-1218.00,Obstetricians and Gynecologists,
IC,5,15-2031.00,Operations Research Analysts,Y
ISR,5,29-1241.00,"Ophthalmologists, Except Pediatric",
ISR,5,29-1041.00,Optometrists,Y
IRS,5,29-1022.00,Oral and Maxillofacial Surgeons,
IRC,5,29-1023.00,Orthodontists,Y
IRS,5,29-1242.00,"Orthopedic Surgeons, Except Pediatric",
IRS,5,29-1299.02,Orthoptists,
ISR,5,29-1243.00,Pediatric Surgeons,
ISC,5,29-1051.00,Pharmacists,
ISR,5,29-1229.04,Physical Medicine and Rehabilitation Physicians,
IRC,5,29-1222.00,"Physicians, Pathologists",
IRC,5,19-2012.00,Physicists,Y
IRS,5,29-1081.00,Podiatrists,
IA,5,19-3094.00,Political Scientists,Y
IS,5,29-1229.05,Preventive Medicine Physicians,
IS,5,29-1223.00,Psychiatrists,
ICR,5,29-1224.00,Radiologists,
ISA,5,19-3041.00,Sociologists,
IR,5,19-1013.00,Soil and Plant Scientists,Y
ISR,5,29-1229.06,Sports Medicine Physicians,
IC,5,15-2041.00,Statisticians,Y
IC,5,19-3022.00,Survey Researchers,
IEC,5,19-3051.00,Urban and Regional Planners,
IRS,5,29-1229.03,Urologists,
