Top Work Values,Job Zone,Code,Occupation,Featured
AWS,3,17-3027.01,Automotive Engineering Technicians,Y
RWA,3,15-1232.00,Computer User Support Specialists,Y
SWI,3,33-3051.04,Customs and Border Protection Officers,Y
SWI,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Y
SWI,3,47-4021.00,Elevator and Escalator Installers and Repairers,Y
IWA,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Y
RWA,3,29-2092.00,Hearing Aid Specialists,Y
SWA,3,51-8013.04,Hydroelectric Plant Technicians,Y
SWI,3,51-4041.00,Machinists,Y
AWS,3,29-2035.00,Magnetic Resonance Imaging Technologists,Y
RWA,3,39-5091.00,"Makeup Artists, Theatrical and Performance",Y
SWA,3,17-3013.00,Mechanical Drafters,Y
SWR,3,17-3027.00,Mechanical Engineering Technologists and Technicians,Y
SWA,3,17-3024.01,Robotics Technicians,Y
IWA,3,15-1254.00,Web Developers,Y
AWRc,3,11-9199.09,Wind Energy Operations Managers,Y
WAI,4,15-2011.00,Actuaries,Y
WAI,4,11-2011.00,Advertising and Promotions Managers,Y
WIRc,4,17-2011.00,Aerospace Engineers,Y
WARc,4,11-3051.03,Biofuels Production Managers,
WARc,4,11-3051.04,Biomass Power Plant Managers,
WSI,4,13-2031.00,Budget Analysts,
WSA,4,11-3021.00,Computer and Information Systems Managers,Y
WAI,4,17-2061.00,Computer Hardware Engineers,Y
WIS,4,11-9021.00,Construction Managers,Y
WSA,4,15-1242.00,Database Administrators,Y
WAI,4,17-2199.03,"Energy Engineers, Except Wind and Solar",Y
WIRc,4,11-3031.00,Financial Managers,Y
WSA,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",
WIS,4,15-1212.00,Information Security Analysts,Y
WSI,4,17-2112.03,Manufacturing Engineers,Y
WAI,4,11-2021.00,Marketing Managers,Y
WSI,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",
WSA,4,15-1244.00,Network and Computer Systems Administrators,Y
WIS,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Y
WSI,4,11-3061.00,Purchasing Managers,
WIA,4,19-1031.02,Range Managers,Y
WIS,4,13-1041.07,Regulatory Affairs Specialists,Y
WAI,4,11-3031.01,Treasurers and Controllers,Y
WAI,4,17-2112.02,Validation Engineers,Y
IWR,4,11-9111.00,Medical and Health Services Managers,Y
WAI,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Y
WAI,5,25-1042.00,"Biological Science Teachers, Postsecondary",Y
WIA,5,19-3011.00,Economists,Y
WAI,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Y
WAI,5,25-1071.00,"Health Specialties Teachers, Postsecondary",Y
WRA,5,19-3032.00,Industrial-Organizational Psychologists,Y
WARc,5,29-1041.00,Optometrists,Y
WAI,5,25-1065.00,"Political Science Teachers, Postsecondary",Y
RWS,5,29-1141.02,Advanced Practice Psychiatric Nurses,Y
AWI,5,15-1221.00,Computer and Information Research Scientists,Y
AWI,5,17-2112.01,Human Factors Engineers and Ergonomists,Y
AWI,5,19-2043.00,Hydrologists,Y
RWI,5,25-4022.00,Librarians and Media Collections Specialists,Y
AWI,5,17-2199.09,Nanosystems Engineers,Y
IWA,5,11-9121.00,Natural Sciences Managers,Y
RWI,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Y
RWA,5,29-1071.00,Physician Assistants,Y
RcWA,5,19-2012.00,Physicists,Y
AWRc,5,19-3094.00,Political Scientists,Y
